#Week,Date,GameID,Site,NumPoss,HomeID,HomeName,HomeScore,AwayID,AwayName,AwayScore,HomeYards,AwayYards,HomePass,AwayPass,HomeRush,AwayRush,HomeTOs,AwayTOs,HomePen,AwayPen,HomePassPlays,AwayPassPlays,HomeRunPlays,AwayRunPlays,HomeFirstDowns,AwayFirstDowns,HomeScores,AwayScores
889,20170909,20170909-1726-1718,NAVY,145,1726,NAVY,23,1718,TULANE,21,365,395,132,71,194,191,2,0,0,7,12,13,52,46,15,11,3,3
889,20170909,20170909-1077-1732,BYU,164,1077,BYU,13,1732,UTAH,19,277,501,170,314,63,116,3,2,4,11,39,37,24,36,13,18,2,5
889,20170909,20170909-1067-1749,BOSTON COLLEGE,181,1067,BOSTON COLLEGE,10,1749,WAKE FOREST,34,493,382,163,151,142,158,4,0,0,5,41,19,41,52,19,15,2,6
889,20170909,20170909-1301-1772,ILLINOIS,164,1301,ILLINOIS,20,1772,WESTERN KY.,7,348,307,107,238,193,6,1,2,9,11,25,43,50,16,19,14,4,1
889,20170909,20170909-1416-1774,MICHIGAN ST.,157,1416,MICHIGAN ST.,28,1774,WESTERN MICH.,14,531,443,161,79,296,116,2,1,3,3,21,27,49,36,21,11,4,2
890,20170914,20170914-1066-1473,BOISE ST.,143,1066,BOISE ST.,28,1473,NEW MEXICO,14,327,319,137,79,127,198,0,2,8,1,19,16,32,51,12,18,4,2
890,20170915,20170915-1704-1029,UTEP,168,1704,UTEP,16,1029,ARIZONA,63,333,621,201,175,17,326,2,1,4,3,39,23,14,65,12,29,3,9
890,20170915,20170915-1651-1301,SOUTH FLA.,192,1651,SOUTH FLA.,47,1301,ILLINOIS,23,760,446,304,287,376,67,1,3,16,15,32,40,66,15,38,15,8,3
890,20170915,20170915-1690-1400,TEMPLE,174,1690,TEMPLE,29,1400,MASSACHUSETTS,21,471,606,268,377,119,81,0,1,7,6,39,39,34,33,20,25,6,3
890,20170916,20170916-1670-1027,TEXAS ST.,154,1670,TEXAS ST.,13,1027,APPALACHIAN ST.,20,430,424,260,167,125,116,1,1,7,6,35,28,37,29,21,19,3,4
890,20170916,20170916-1700-1028,TEXAS TECH,193,1700,TEXAS TECH,52,1028,ARIZONA ST.,45,634,597,543,326,72,168,1,1,6,4,50,41,29,44,33,27,8,7
890,20170916,20170916-1193-1051,DUKE,181,1193,DUKE,34,1051,BAYLOR,20,530,333,184,263,246,57,2,4,5,11,35,34,51,27,24,9,6,3
890,20170916,20170916-1509-1071,NORTHWESTERN,173,1509,NORTHWESTERN,49,1071,BOWLING GREEN,7,759,411,375,256,303,96,2,1,4,3,31,44,43,30,30,21,7,1
890,20170916,20170916-1756-1096,WASHINGTON,152,1756,WASHINGTON,48,1096,FRESNO ST.,16,591,447,328,194,92,119,2,1,4,6,28,36,30,31,21,18,7,4
890,20170916,20170916-1404-1110,MEMPHIS,204,1404,MEMPHIS,48,1110,UCLA,45,738,753,398,463,162,170,3,3,11,10,39,56,37,35,26,31,7,7
890,20170916,20170916-1688-1129,SYRACUSE,194,1688,SYRACUSE,41,1129,CENTRAL MICH.,17,762,427,279,277,300,105,3,3,9,5,35,46,44,34,18,22,7,3
890,20170916,20170916-1414-1140,MIAMI (OH),170,1414,MIAMI (OH),17,1140,CINCINNATI,21,415,443,221,222,70,139,1,2,9,6,31,43,32,35,14,21,3,4
890,20170916,20170916-1367-1147,LOUISVILLE,180,1367,LOUISVILLE,21,1147,CLEMSON,47,541,696,317,316,116,297,1,0,4,4,42,33,27,48,21,25,3,8
890,20170916,20170916-1009-1149,UAB,160,1009,UAB,30,1149,COASTAL CARO.,23,352,449,105,100,169,227,1,3,5,9,15,23,47,49,18,23,5,4
890,20170916,20170916-1008-1156,ALABAMA,160,1008,ALABAMA,41,1156,COLORADO ST.,23,603,461,248,247,239,144,0,2,4,3,21,38,39,40,23,22,7,4
890,20170916,20170916-1746-1164,VIRGINIA,155,1746,VIRGINIA,38,1164,CONNECTICUT,18,703,568,455,227,171,207,1,2,9,1,40,26,31,41,27,23,6,3
890,20170916,20170916-1539-1254,PENN ST.,160,1539,PENN ST.,56,1254,GEORGIA STATE,0,671,355,360,170,166,150,0,5,5,3,29,32,24,49,19,21,8,0
890,20170916,20170916-1774-1295,WESTERN MICH.,164,1774,WESTERN MICH.,37,1295,IDAHO,28,494,495,212,229,135,170,1,3,6,6,31,26,42,34,20,15,7,4
890,20170916,20170916-1005-1311,AKRON,166,1005,AKRON,14,1311,IOWA ST.,41,354,617,293,317,38,191,3,0,7,7,44,33,24,37,19,23,2,7
890,20170916,20170916-1736-1327,VANDERBILT,144,1736,VANDERBILT,14,1327,KANSAS ST.,7,281,305,205,76,65,201,1,2,5,7,23,28,32,35,11,13,2,1
890,20170916,20170916-1519-1328,OHIO,169,1519,OHIO,42,1328,KANSAS,30,497,571,254,343,196,108,1,1,7,7,22,47,42,32,22,23,7,5
890,20170916,20170916-1388-1331,MARSHALL,163,1388,MARSHALL,21,1331,KENT ST.,0,430,301,223,117,158,142,1,1,8,8,43,17,33,44,23,14,3,0
890,20170916,20170916-1648-1334,SOUTH CAROLINA,154,1648,SOUTH CAROLINA,13,1334,KENTUCKY,23,442,373,304,169,54,184,2,2,7,4,37,26,20,47,14,20,2,5
890,20170916,20170916-1430-1365,MISSISSIPPI ST.,155,1430,MISSISSIPPI ST.,37,1365,LSU,7,514,310,180,137,285,133,0,0,5,9,23,29,48,29,25,13,7,1
890,20170916,20170916-1772-1366,WESTERN KY.,170,1772,WESTERN KY.,22,1366,LOUISIANA TECH,23,442,487,226,306,141,122,0,1,3,3,35,39,41,30,23,20,3,5
890,20170916,20170916-1428-1419,MINNESOTA,148,1428,MINNESOTA,34,1419,MIDDLE TENN.,3,448,292,122,184,221,46,0,2,3,6,18,42,47,15,18,11,6,1
890,20170916,20170916-1107-1433,CALIFORNIA,196,1107,CALIFORNIA,27,1433,MISSISSIPPI,16,530,535,236,363,163,53,2,3,7,16,48,44,40,29,25,19,5,3
890,20170916,20170916-1523-1457,OLD DOMINION,176,1523,OLD DOMINION,23,1457,NORTH CAROLINA,53,557,615,214,259,102,252,3,1,3,9,32,26,33,50,14,25,4,8
890,20170916,20170916-1312-1497,IOWA,157,1312,IOWA,31,1497,NORTH TEXAS,14,501,357,197,193,238,112,2,2,6,13,27,29,59,17,28,17,5,2
890,20170916,20170916-1463-1503,NEBRASKA,164,1463,NEBRASKA,17,1503,NORTHERN ILL.,21,488,349,299,128,85,85,3,1,5,3,47,23,36,31,18,13,3,3
890,20170916,20170916-1067-1513,BOSTON COLLEGE,196,1067,BOSTON COLLEGE,20,1513,NOTRE DAME,49,517,616,215,96,185,515,3,2,6,5,41,27,44,51,22,19,4,7
890,20170916,20170916-1545-1521,PITTSBURGH,168,1545,PITTSBURGH,21,1521,OKLAHOMA ST.,59,476,734,288,572,103,104,2,2,6,4,35,37,34,35,17,27,3,9
890,20170916,20170916-1754-1528,WASHINGTON ST.,173,1754,WASHINGTON ST.,52,1528,OREGON ST.,23,571,473,431,199,60,155,0,2,7,8,58,37,16,33,27,21,8,3
890,20170916,20170916-1811-1529,WYOMING,181,1811,WYOMING,13,1529,OREGON,49,247,591,66,251,117,307,2,3,6,4,25,30,32,65,10,32,3,7
890,20170916,20170916-1434-1559,MISSOURI,163,1434,MISSOURI,3,1559,PURDUE,35,246,532,133,272,70,205,3,1,6,3,28,34,24,50,10,26,1,5
890,20170916,20170916-1288-1574,HOUSTON,158,1288,HOUSTON,38,1574,RICE,3,525,339,354,113,130,129,0,3,2,2,38,25,37,35,22,14,6,1
890,20170916,20170916-1732-1630,UTAH,188,1732,UTAH,54,1630,SAN JOSE ST.,16,596,279,341,233,160,30,3,5,6,6,44,35,40,37,29,16,10,4
890,20170916,20170916-1698-1663,TCU,176,1698,TCU,56,1663,SMU,36,739,611,365,339,254,124,3,2,11,5,30,38,49,30,30,19,8,7
890,20170916,20170916-1498-1664,LA.-MONROE,180,1498,LA.-MONROE,17,1664,SOUTHERN MISS.,28,383,631,112,250,218,284,1,1,5,12,27,32,37,48,15,23,3,4
890,20170916,20170916-1697-1671,TEXAS A&M,175,1697,TEXAS A&M,45,1671,LA.-LAFAYETTE,21,661,349,301,216,179,93,2,5,3,4,34,44,40,29,27,17,7,3
890,20170916,20170916-1626-1674,SAN DIEGO ST.,147,1626,SAN DIEGO ST.,20,1674,STANFORD,17,377,343,187,80,166,174,0,3,7,4,29,21,49,22,21,10,4,3
890,20170916,20170916-1235-1694,FLORIDA,158,1235,FLORIDA,26,1694,TENNESSEE,20,477,471,212,259,168,183,3,3,8,7,28,39,29,33,14,23,5,4
890,20170916,20170916-1657-1703,SOUTHERN CALIFORNIA,197,1657,SOUTHERN CALIFORNIA,27,1703,TEXAS,24,556,513,397,298,71,68,2,4,8,10,51,40,37,35,25,17,5,4
890,20170916,20170916-1472-1716,NEW MEXICO ST.,167,1472,NEW MEXICO ST.,24,1716,TROY,27,409,542,331,286,51,190,0,0,6,9,45,40,17,38,18,26,4,4
890,20170916,20170916-1522-1718,OKLAHOMA,161,1522,OKLAHOMA,56,1718,TULANE,14,726,307,434,54,197,237,2,2,4,2,30,12,32,62,24,20,8,2
890,20170916,20170916-1709-1719,TOLEDO,189,1709,TOLEDO,54,1719,TULSA,51,765,686,458,125,221,423,1,0,15,9,33,20,33,68,29,29,8,8
890,20170916,20170916-1418-1721,MICHIGAN,149,1418,MICHIGAN,29,1721,AIR FORCE,13,513,277,169,64,190,168,1,1,7,3,23,9,42,49,17,15,7,3
890,20170916,20170916-1518-1725,OHIO ST.,154,1518,OHIO ST.,38,1725,ARMY,7,628,394,316,19,270,259,0,1,5,2,37,8,32,58,30,16,6,1
890,20170916,20170916-1749-1731,WAKE FOREST,188,1749,WAKE FOREST,46,1731,UTAH ST.,10,749,356,297,225,291,42,0,1,8,4,27,37,59,31,26,11,8,2
890,20170916,20170916-1196-1742,EAST CAROLINA,187,1196,EAST CAROLINA,17,1742,VIRGINIA TECH,64,320,732,241,388,40,287,3,0,6,7,30,33,31,62,12,34,3,11
890,20170916,20170916-1077-1796,BYU,135,1077,BYU,6,1796,WISCONSIN,40,243,561,111,256,81,235,2,0,5,6,20,19,26,49,11,28,2,6
891,20170921,20170921-1651-1690,SOUTH FLA.,176,1651,SOUTH FLA.,43,1690,TEMPLE,7,477,311,96,89,312,-4,2,6,9,6,20,25,63,33,22,6,9,1
891,20170922,20170922-1029-1732,ARIZONA,176,1029,ARIZONA,24,1732,UTAH,30,483,398,248,229,200,112,5,2,4,9,42,28,42,38,24,21,4,6
891,20170922,20170922-1066-1746,BOISE ST.,176,1066,BOISE ST.,23,1746,VIRGINIA,42,539,509,353,273,30,167,1,0,9,3,53,29,24,40,22,21,3,6
891,20170923,20170923-1716-1005,TROY,180,1716,TROY,22,1005,AKRON,17,606,366,314,268,179,99,1,3,16,12,42,40,29,35,24,23,4,3
891,20170923,20170923-1736-1008,VANDERBILT,158,1736,VANDERBILT,0,1008,ALABAMA,59,167,711,38,181,40,496,2,0,5,6,22,27,16,66,3,38,0,9
891,20170923,20170923-1497-1009,NORTH TEXAS,175,1497,NORTH TEXAS,46,1009,UAB,43,675,504,261,321,287,74,2,2,4,7,29,36,44,36,28,16,9,6
891,20170923,20170923-1663-1030,SMU,194,1663,SMU,44,1030,ARKANSAS ST.,21,674,530,266,284,311,143,0,2,10,12,32,43,54,29,31,20,7,3
891,20170923,20170923-1434-1037,MISSOURI,171,1434,MISSOURI,14,1037,AUBURN,51,361,537,216,219,124,263,4,0,7,5,39,21,31,53,21,22,2,9
