20190928,MIAMI (OH),1414,1086,MIAMI (OH),BUFFALO
20190928,NEW MEXICO ST.,1472,1096,NEW MEXICO ST.,FRESNO ST.
20190928,ARIZONA,1029,1110,ARIZONA,UCLA
20190928,WESTERN MICH.,1774,1129,WESTERN MICH.,CENTRAL MICH.
20190928,MARSHALL,1388,1140,MARSHALL,CINCINNATI
20190928,NORTH CAROLINA,1457,1147,NORTH CAROLINA,CLEMSON
20190928,APPALACHIAN ST.,1027,1149,APPALACHIAN ST.,COASTAL CARO.
20190928,UTAH ST.,1731,1156,UTAH ST.,COLORADO ST.
20190928,UCF,1128,1164,UCF,CONNECTICUT
20190928,OLD DOMINION,1523,1196,OLD DOMINION,EAST CAROLINA
20190928,CHARLOTTE,1458,1229,CHARLOTTE,FLA. ATLANTIC
20190928,TEMPLE,1690,1255,TEMPLE,GEORGIA TECH
20190928,NEVADA,1466,1277,NEVADA,HAWAII
20190928,NORTH TEXAS,1497,1288,NORTH TEXAS,HOUSTON
20190928,MICHIGAN ST.,1416,1306,MICHIGAN ST.,INDIANA
20190928,BAYLOR,1051,1311,BAYLOR,IOWA ST.
20190928,OKLAHOMA ST.,1521,1327,OKLAHOMA ST.,KANSAS ST.
20190928,TCU,1698,1328,TCU,KANSAS
20190928,SOUTH CAROLINA,1648,1334,SOUTH CAROLINA,KENTUCKY
20190928,RICE,1574,1366,RICE,LOUISIANA TECH
20190928,IOWA,1312,1419,IOWA,MIDDLE TENN.
20190928,PURDUE,1559,1428,PURDUE,MINNESOTA
20190928,AUBURN,1037,1430,AUBURN,MISSISSIPPI ST.
20190928,ALABAMA,1008,1433,ALABAMA,MISSISSIPPI
20190928,WYOMING,1811,1465,WYOMING,UNLV
20190928,LIBERTY,1355,1473,LIBERTY,NEW MEXICO
20190928,FLORIDA ST.,1234,1490,FLORIDA ST.,NORTH CAROLINA ST.
20190928,VANDERBILT,1736,1503,VANDERBILT,NORTHERN ILL.
20190928,WISCONSIN,1796,1509,WISCONSIN,NORTHWESTERN
20190928,NEBRASKA,1463,1518,NEBRASKA,OHIO ST.
20190928,MICHIGAN,1418,1587,MICHIGAN,RUTGERS
20190928,LA.-MONROE,1498,1646,LA.-MONROE,SOUTH ALA.
20190928,WASHINGTON,1756,1657,WASHINGTON,SOUTHERN CALIFORNIA
20190928,SOUTH FLA.,1651,1663,SOUTH FLA.,SMU
20190928,GA. SOUTHERN,1253,1671,GA. SOUTHERN,LA.-LAFAYETTE
20190928,OREGON ST.,1528,1674,OREGON ST.,STANFORD
20190928,NEUTRAL,1031,1697,ARKANSAS,TEXAS A&M
20190928,OKLAHOMA,1522,1700,OKLAHOMA,TEXAS TECH
20190928,SOUTHERN MISS.,1664,1704,SOUTHERN MISS.,UTEP
20190928,NOTRE DAME,1513,1746,NOTRE DAME,VIRGINIA
20190928,BOSTON COLLEGE,1067,1749,BOSTON COLLEGE,WAKE FOREST
20190928,UTAH,1732,1754,UTAH,WASHINGTON ST.
20191003,SOUTH ALA.,1646,1253,SOUTH ALA.,GA. SOUTHERN
20191003,EAST CAROLINA,1196,1690,EAST CAROLINA,TEMPLE
20191004,CINCINNATI,1140,1128,CINCINNATI,UCF
20191004,SAN JOSE ST.,1630,1473,SAN JOSE ST.,NEW MEXICO
20191005,COLORADO,1157,1029,COLORADO,ARIZONA
20191005,GEORGIA STATE,1254,1030,GEORGIA STATE,ARKANSAS ST.
20191005,FLORIDA,1235,1037,FLORIDA,AUBURN
20191005,NORTHERN ILL.,1503,1047,NORTHERN ILL.,BALL ST.
20191005,KANSAS ST.,1327,1051,KANSAS ST.,BAYLOR
20191005,UNLV,1465,1066,UNLV,BOISE ST.
20191005,LOUISVILLE,1367,1067,LOUISVILLE,BOSTON COLLEGE
20191005,NOTRE DAME,1513,1071,NOTRE DAME,BOWLING GREEN
20191005,OREGON,1529,1107,OREGON,CALIFORNIA
20191005,CENTRAL MICH.,1129,1204,CENTRAL MICH.,EASTERN MICH.
20191005,TENNESSEE,1694,1257,TENNESSEE,GEORGIA
20191005,MINNESOTA,1428,1301,MINNESOTA,ILLINOIS
20191005,MICHIGAN,1418,1312,MICHIGAN,IOWA
20191005,WISCONSIN,1796,1331,WISCONSIN,KENT ST.
20191005,NEW MEXICO ST.,1472,1355,NEW MEXICO ST.,LIBERTY
